Round Number,Date,Location,Team_1,Team_2,Group,Result
1,"Oct 5, 2023",Ahmedabad,England,New Zealand,Group A,
1,"Oct 6, 2023",Hyderabad,Netherlands,Pakistan,Group A,
1,"Oct 7, 2023",Dharamsala,Afghanistan,Bangladesh,Group A,
1,"Oct 7, 2023",Delhi,South Africa,Sri Lanka,Group A,
1,"Oct 8, 2023",Chennai,India,Australia,Group A,
1,"Oct 9, 2023",Hyderabad,Netherlands,New Zealand,Group A,
1,"Oct 10, 2023",Dharamsala,Bangladesh,England,Group A,
1,"Oct 10, 2023",Hyderabad,Pakistan,Sri Lanka,Group A,
1,"Oct 11, 2023",Delhi,India,Afghanistan,Group A,
1,"Oct 12, 2023",Lucknow,Australia,South Africa,Group A,
1,"Oct 13, 2023",Chennai,Bangladesh,New Zealand,Group A,
1,"Oct 14, 2023",Ahmedabad,India,Pakistan,Group A,
1,"Oct 15, 2023",Delhi,Afghanistan,England,Group A,
1,"Oct 16, 2023",Lucknow,Australia,Sri Lanka,Group A,
1,"Oct 17, 2023",Dharamsala,Netherlands,South Africa,Group A,
1,"Oct 18, 2023",Chennai,Afghanistan,New Zealand,Group A,
1,"Oct 19, 2023",Pune,India,Bangladesh,Group A,
1,"Oct 20, 2023",Bengaluru,Australia,Pakistan,Group A,
1,"Oct 21, 2023",Lucknow,Netherlands,Sri Lanka,Group A,
1,"Oct 21, 2023",Wankhede,England,South Africa,Group A,
1,"Oct 22, 2023",Dharamsala,India,New Zealand,Group A,
1,"Oct 23, 2023",Chennai,Afghanistan,Pakistan,Group A,
1,"Oct 24, 2023",Wankhede,Bangladesh,South Africa,Group A,
1,"Oct 25, 2023",Delhi,Australia,Netherlands,Group A,
1,"Oct 26, 2023",Bengaluru,England,Sri Lanka,Group A,
1,"Oct 27, 2023",Chennai,Pakistan,South Africa,Group A,
1,"Oct 28, 2023",Dharamsala,Australia,New Zealand,Group A,
1,"Oct 28, 2023",Eden Gardens,Bangladesh,Netherlands,Group A,
1,"Oct 29, 2023",Lucknow,India,England,Group A,
1,"Oct 30, 2023",Pune,Afghanistan,Sri Lanka,Group A,
1,"Oct 31, 2023",Eden Gardens,Bangladesh,Pakistan,Group A,
1,"Nov 1, 2023",Pune,New Zealand,South Africa,Group A,
1,"Nov 2, 2023",Wankhede,India,Sri Lanka,Group A,
1,"Nov 3, 2023",Lucknow,Afghanistan,Netherlands,Group A,
1,"Nov 4, 2023",Bengaluru,New Zealand,Pakistan,Group A,
1,"Nov 4, 2023",Ahmedabad,Australia,England,Group A,
1,"Nov 5, 2023",Eden Gardens,India,South Africa,Group A,
1,"Nov 6, 2023",Delhi,Bangladesh,Sri Lanka,Group A,
1,"Nov 7, 2023",Wankhede,Afghanistan,Australia,Group A,
1,"Nov 8, 2023",Pune,England,Netherlands,Group A,
1,"Nov 9, 2023",Bengaluru,New Zealand,Sri Lanka,Group A,
1,"Nov 10, 2023",Ahmedabad,Afghanistan,South Africa,Group A,
1,"Nov 11, 2023",Pune,Australia,Bangladesh,Group A,
1,"Nov 11, 2023",Eden Gardens,England,Pakistan,Group A,
1,"Nov 12, 2023",Bengaluru,India,Netherlands,Group A,
